Constantes:
 - h : 6.626e-024
 - v : 3.25e+014
 - c : 3.1e+008
 - k : 1.38e-023
 - v3 : 3.43281e+043
 - c2 : 9.61e+016
 - (hv^3/c^2) : 2366.89
 - (hv/k): 1.56047e+014
 - Inicia en: 0, termina en: 1

tabla 

t,expresion variable exp(hv/kt),f(t)
1,inf,0
0.1,inf,0
0.01,inf,0
0.001,inf,0
0.0001,inf,0
1e-005,inf,0
1e-006,inf,0
1e-007,inf,0
1e-008,inf,0
1e-009,inf,0
1e-010,inf,0
1e-011,inf,0
1e-012,inf,0
1e-013,inf,0
1e-014,inf,0
1e-015,inf,0
1e-016,inf,0
1e-017,inf,0
1e-018,inf,0
1e-019,inf,0
1e-020,inf,0
1e-021,inf,0
1e-022,inf,0
1e-023,inf,0
1e-024,inf,0
1e-025,inf,0
1e-026,inf,0
1e-027,inf,0
1e-028,inf,0
1e-029,inf,0
1e-030,inf,0
1e-031,inf,0
1e-032,inf,0
1e-033,inf,0
1e-034,inf,0
1e-035,inf,0
1e-036,inf,0
1e-037,inf,0
1e-038,inf,0
1e-039,inf,0
1e-040,inf,0
1e-041,inf,0
1e-042,inf,0
1e-043,inf,0
1e-044,inf,0
1e-045,inf,0
1e-046,inf,0
1e-047,inf,0
1e-048,inf,0
1e-049,inf,0
1e-050,inf,0
1e-051,inf,0
1e-052,inf,0
1e-053,inf,0
1e-054,inf,0
1e-055,inf,0
1e-056,inf,0
1e-057,inf,0
1e-058,inf,0
1e-059,inf,0
1e-060,inf,0
1e-061,inf,0
1e-062,inf,0
1e-063,inf,0
1e-064,inf,0
1e-065,inf,0
1e-066,inf,0
1e-067,inf,0
1e-068,inf,0
1e-069,inf,0
1e-070,inf,0
1e-071,inf,0
1e-072,inf,0
1e-073,inf,0
1e-074,inf,0
1e-075,inf,0
1e-076,inf,0
1e-077,inf,0
1e-078,inf,0
1e-079,inf,0
1e-080,inf,0
1e-081,inf,0
1e-082,inf,0
1e-083,inf,0
1e-084,inf,0
1e-085,inf,0
1e-086,inf,0
1e-087,inf,0
1e-088,inf,0
1e-089,inf,0
1e-090,inf,0
1e-091,inf,0
1e-092,inf,0
1e-093,inf,0
1e-094,inf,0
1e-095,inf,0
1e-096,inf,0
1e-097,inf,0
1e-098,inf,0
1e-099,inf,0
1e-100,inf,0
1e-101,inf,0
1e-102,inf,0
1e-103,inf,0
1e-104,inf,0
1e-105,inf,0
1e-106,inf,0
1e-107,inf,0
1e-108,inf,0
1e-109,inf,0
1e-110,inf,0
1e-111,inf,0
1e-112,inf,0
1e-113,inf,0
1e-114,inf,0
1e-115,inf,0
1e-116,inf,0
1e-117,inf,0
1e-118,inf,0
1e-119,inf,0
1e-120,inf,0
1e-121,inf,0
1e-122,inf,0
1e-123,inf,0
1e-124,inf,0
1e-125,inf,0
1e-126,inf,0
1e-127,inf,0
1e-128,inf,0
1e-129,inf,0
1e-130,inf,0
1e-131,inf,0
1e-132,inf,0
1e-133,inf,0
1e-134,inf,0
1e-135,inf,0
1e-136,inf,0
1e-137,inf,0
1e-138,inf,0
1e-139,inf,0
1e-140,inf,0
1e-141,inf,0
1e-142,inf,0
1e-143,inf,0
1e-144,inf,0
1e-145,inf,0
1e-146,inf,0
1e-147,inf,0
1e-148,inf,0
1e-149,inf,0
1e-150,inf,0
1e-151,inf,0
1e-152,inf,0
1e-153,inf,0
1e-154,inf,0
1e-155,inf,0
1e-156,inf,0
1e-157,inf,0
1e-158,inf,0
1e-159,inf,0
1e-160,inf,0
1e-161,inf,0
1e-162,inf,0
1e-163,inf,0
1e-164,inf,0
1e-165,inf,0
1e-166,inf,0
1e-167,inf,0
1e-168,inf,0
1e-169,inf,0
1e-170,inf,0
1e-171,inf,0
1e-172,inf,0
1e-173,inf,0
1e-174,inf,0
1e-175,inf,0
1e-176,inf,0
1e-177,inf,0
