t,f(t)
0.01,2.6510258015995777124470246842222320618928823748200E-677711
4,1.3010716577037338125468785505528549802723284479951E-1701
8,1.7548486729153312636431293834237804515573391630772E-854
12,4.1772053286246210830441080505254366510349062709261E-572
16,6.4447919074546851274339959614890255827076446602594E-431
20,3.3281488733296967116930037038091014504426368534888E-346
24,9.9433327937626779282750306081822845282475274768703E-290
28,2.1729656139731939620460563097048443690757180218906E-249
32,3.9056517183836084599876956339512604172163214639789E-219
36,1.3276411117775265999830661489299178219748690227304E-195
40,8.8754511043220800579561910361192439272806669648032E-177
44,2.2415733421573269110967260720023773541004950287171E-161
48,1.5341048782840236246934829653252731490274187427351E-148
52,1.1130003157737259828566948572083745014446649080770E-137
56,2.2678560796974131666270596005440348854596938912795E-128
60,2.6516711656816693336913065292165284627111205203139E-120
64,3.0404356765448707440624206164801674186602660660179E-113
68,5.1502988044751021053061363774040108415389413474079E-107
72,1.7726761823636659405581735223808286012448622796968E-101
76,1.5944307364879564528240090049653175862571522853005E-96
80,4.5833632826802077380910464418802509493528080087160E-92
84,4.9560578739894766635016893508872842712858061282202E-88
88,2.3033797262797523037153582127526128158989819072270E-84
92,5.1369485697594048226776757975794941579349120775027E-81
96,6.0258260266710324119975497341952417710047047469301E-78
100,4.0159014841369128481452251961162125397931351934865E-75
104,1.6230679693108050354659403711621483672520802822952E-72
108,4.2054484646625343389715573043238764949003769612485E-70
112,7.3265042957371851488430429594674203908456398646716E-68
116,8.9417752673158171416031539738464948326077736520864E-66
120,7.9222564445017565345079510022435625877066386547115E-64
124,5.2557380357948274760604560895255219737944766731058E-62
128,2.6826065049871849439686055095993498023212508034170E-60
132,1.0788715369561558702014750690317819527645159523657E-58
136,3.4914455742194502403910392941348126188687737434378E-57
140,9.2630300348794447273536164933928867246239213904092E-56
144,2.0483481227400423973762625058444428261454233155192E-54
148,3.8315159936888683361146485663190935531222471004059E-53
152,6.1431609274060485808083364328208776417182959413691E-52
156,8.5431332528733202752157240715337412863737123697215E-51
160,1.0415525920372872300600070192136622671579993362948E-49
164,1.1240004752261349688883483790174755153369490294062E-48
168,1.0830717994067032687344856154107553620331625933758E-47
172,9.3925959550722383222217197924285839323872446097639E-47
176,7.3836624336963412941136594896798581558243914972049E-46
180,5.2961300373514127168984910201594369433430212033256E-45
184,3.4869175007310932125653306274578882442127066372255E-44
188,2.1188276873625411653576139909305594953806407849432E-43
192,1.1942557964248427460390856257465409750383879726675E-42
196,6.2725761868408978034375605583443974783705748212875E-42
200,3.0830501459647060036594661292034672111172581711472E-41
204,1.4236270345042126579626159053356412335237106486960E-40
208,6.1980834183780114253217397585583507156234386410604E-40
212,2.5527638312261604600184923717591283271747065617446E-39
216,9.9768908528744546176412197150855832490789866586962E-39
220,3.7106764850470645050299130507804985356650839136968E-38
224,1.3168535161525028410496318388470507408413157097373E-37
228,4.4701349788704764649810420515040939718977057667160E-37
232,1.4547921156638200530103926324628154885516174853853E-36
236,4.5489276200413906707005269476348794065295749498096E-36
240,1.3693469904429715860256187107097595348669687341022E-35
244,3.9758138870140011037779201089294818776933534512311E-35
248,1.1153365093034995131153051183358301699901802219528E-34
252,3.0280581264358304148416605272669167706682847357682E-34
256,7.9683343750534092508301707323286843662583806417828E-34
260,2.0353615169886369548524642316997197160187214106745E-33
264,5.0532866117306927468242999038835452619339777456660E-33
268,1.2210045361800958688625939410364102080973682750551E-32
272,2.8746945238049845989620834248587679595657898125543E-32
276,6.6021769057374544356277283155265907031126359761478E-32
280,1.4806949647334330163517310305456347988665947954896E-31
284,3.2461079558085671859467012879519223388100545138224E-31
288,6.9629126585497969481209695104013340799308530839625E-31
292,1.4626442799706734701310032624090254039285106544910E-30
296,3.0114411793628471626366129647968229541784000857178E-30
300,6.0820002642172059100284478728000835160010678698789E-30
304,1.2058270153473672957805618313899063420502548856906E-29
308,2.3485677989413435944017978845979398006758663560595E-29
312,4.4967387168228805152907934828256311960110850790158E-29
316,8.4693595618936776520848205159559648495322530580224E-29
320,1.5701085025909930843130758435149160460862289289531E-28
324,2.8667480316118134270520805296659626461217216838729E-28
328,5.1578927902082305666600582046463168230104031190638E-28
332,9.1497352007119511427877458449052996633140237631108E-28
336,1.6010971608282440488851006652875471611020313700125E-27
340,2.7650881861667811910432899110493718416412578916011E-27
344,4.7150020258165427013982073803330977844242810560317E-27
348,7.9419412134115788597030312191563268993189317636929E-27
352,1.3219802899965619496895862448819270495661113722570E-26
356,2.1754559625716727695431257494411152306941390851641E-26
360,3.5405308536815387861682360653051377919026607503199E-26
364,5.7008251531756424965032729515724163397775118138829E-26
368,9.0846855487966862007071730814430845766354316239116E-26
372,1.4332765255929523599005084389641407140461177074134E-25
376,2.2394268609967476477266356801918748426434020390304E-25
380,3.4662799336023292470477680708851955466409098272190E-25
384,5.3166459733950013465746528243855714423061970760741E-25
388,8.0831652527631787826241103633589649170150019030307E-25
392,1.2184621302903092203062607680381126924059113298858E-24
396,1.8215537733803392702630088376881505230119016954666E-24
400,2.7013406734820362293427231108987576860758382629566E-24
404,3.9749151307094611450574162935962627279247674276813E-24
408,5.8047988728117355343730393010609073652233485336478E-24
412,8.4149803903688924382790491086264144761246783274206E-24
416,1.2112053260965204953853432823346987948168505781120E-23
420,1.7312898196245091453487575775022722597643540150333E-23
424,2.4580707695974741379511464002295542846338485859887E-23
428,3.4671582921825436586506065197600651520513252079452E-23
432,4.8594450320787820351173929303505985094229673229296E-23
436,6.7687664792615298310344629229624504879995058583450E-23
440,9.3716402608550860299549708124028770875894476040518E-23
444,1.2899581837886498396576468097414717530853504995822E-22
448,1.7654596546654912434183458212180578321359304830378E-22
