v,f(v)
0,indeterminado
1000,1.0052029136247388137357077520454380609134566924078E-30
2000,4.0208116544713756503644561867332524709358406296130E-30
3000,9.0468262224985411030189668334744475539802185772189E-30
4000,1.6083246617664865764832339570458366277929668159617E-29
5000,2.5130072839928980228938052624652690254653018583434E-29
6000,3.6187304889249515088469962571803439739932662832573E-29
7000,4.9254942765585100936562304336434973633560900061897E-29
8000,6.4332986468894368366349691191849989479275075540480E-29
9000,8.1421435999135947970967114760129523464802631655904E-29
10000,1.0052029135626847034354994501213295042187684952774E-28
11000,1.2162955254025056607723393026749798382609138817064E-28
12000,1.4474921955104086576515519719464067579710653866103E-28
13000,1.6987929238859800000045025081075541709841583494987E-28
14000,1.9701977105288059937625597448181493713769885622933E-28
15000,2.2617065554384729448570962992257030396647059982634E-28
16000,2.5733194586145671592194885719655092428014118823733E-28
17000,2.9050364200566749427811167471606454341824410636157E-28
18000,3.2568574397643826014733647924219724536422479538054E-28
19000,3.6287825177372764412276204588481345274541975901248E-28
20000,4.0208116539749427679752752810255592683318221778901E-28
21000,4.4329448484769678876477245770284576754289785262658E-28
22000,4.8651821012429381061763674484188241343383934594785E-28
23000,5.3175234122724397294926067802464364170914548864820E-28
24000,5.7899687815650590635278492410488556821632785947868E-28
25000,6.2825182091203824142135052828514264744644391922668E-28
26000,6.7951716949379960874809891411672767253457438088618E-28
27000,7.3279292390174863892617188349973177526003679388677E-28
28000,7.8807908413584396254871161668302442604561725794594E-28
29000,8.4537565019604421020886067226425343395896371779807E-28
30000,9.0468262208230801249976198718984494671055003855255E-28
31000,9.6599999979459400001455887675500345065551627170286E-28
32000,1.0293277833328608033463950346037117707930908818882E-27
33000,1.0946659726970670530884145327287310707661228847159E-27
34000,1.1620145678871713798337618214716008528612734500601E-27
35000,1.2313735689031324141755817295226389580095079286182E-27
36000,1.3027429757449087867070194639209415657861482351137E-27
37000,1.3761227884124591280212206100543831944092985506088E-27
38000,1.4515130069057420687113311316596167007421838524287E-27
39000,1.5289136312247162393704973708220732802913118307119E-27
40000,1.6083246613693402705918660479759624672078442029196E-27
41000,1.6897460973395727929685842619042721342858831964098E-27
42000,1.7731779391353724370937994897387684929644950012085E-27
43000,1.8586201867566978335606595869599960933259449611935E-27
44000,1.9460728402035076129623127873972778240972154371611E-27
45000,2.0355358994757604058919077032287149126487758979961E-27
46000,2.1270093645734148429425933249811869249948624548123E-27
47000,2.2204932354964295547075190215303517657944901344919E-27
48000,2.3159875122447631717798345401006456783494316130316E-27
49000,2.4134921948183743247526900062652832446065997117792E-27
50000,2.5130072832172216442192359239462573851563412089999E-27
51000,2.6145327774412637607726231754143393592327530118690E-27
52000,2.7180686774904593050060030212890787647144233173891E-27
53000,2.8236149833647669075125271005388035381237072950459E-27
54000,2.9311716950641451988853474304806199546267061992931E-27
55000,3.0407388125885528097176164067804126280336494887862E-27
56000,3.1523163359379483706024868034528445107989105761845E-27
57000,3.2659042651122905121331117728613568940206049167755E-27
58000,3.3815026001115378649026448457181694074405691216719E-27
59000,3.4991113409356490595042399310842800194452047034659E-27
60000,3.6187304875845827265310513163694650370642115331084E-27
61000,3.7403600400582974965762336673322791059723182003750E-27
62000,3.8639999983567520002329420280800552104870995470774E-27
63000,3.9896503624799048680943318210689046735707290100611E-27
64000,4.1173111324277147307535588471037171568286241500914E-27
65000,4.2469823082001402188037792853381606605112942513060E-27
66000,4.3786638897971399628381496932746815235124949151789E-27
67000,4.5123558772186725934498270067645044233696614736364E-27
68000,4.6480582704646967412319685400076323762653828920411E-27
69000,4.7857710695351710367777319855528467370244572548615E-27
70000,4.9254942744300541106802754142977071991173513922974E-27
71000,5.0672278851493045935327572754885517946577253194060E-27
72000,5.2109719016928811159283363967204968944029022870673E-27
73000,5.3567263240607423084601719839374372077549176971125E-27
74000,5.5044911522528468017214236214320457827594870382453E-27
75000,5.6542663862691532263052512718457740061054354478511E-27
76000,5.8060520261096202128048152761688516031268677186638E-27
77000,5.9598480717742063918132763537402866378015646986307E-27
78000,6.1156545232628703939237956022478655127503908710792E-27
79000,6.2734713805755708497295344977281529692395522906233E-27
80000,6.4332986437122663898236548945664920871777546542830E-27
81000,6.5951363126729156447993190254970042851184832199235E-27
