v,f(v)
0,indeterminado
1000000000000,9.9832377696997688534342283237161335153302757290334E-13
2000000000000,3.9659046747237589620971603291339361170207969258750E-12
3000000000000,8.8619407828610046800679288318563664147120358122201E-12
4000000000000,1.5646008462631702182731293656817839005127043743401E-11
5000000000000,2.4278062257959788810879071297958914314773940724672E-11
6000000000000,3.4718434770907470415128218688624692109345149912970E-11
7000000000000,4.6927836501611476608346246203104710810654088303382E-11
8000000000000,6.0867355652731390028600311416115407544804508469120E-11
9000000000000,7.6498457898459072640345634356688736880192298098012E-11
10000000000000,9.3782986118147076324055191104774605643134892182926E-11
11000000000000,1.1268316009462276475316762749660655531532503431797E-10
12000000000000,1.3316157617726368510822927547256520315939064678080E-10
13000000000000,1.5518120690991850782521061542275292489377928742354E-10
14000000000000,1.7870540062376659663192192131129810885020665779244E-10
15000000000000,2.0369788099521797592921374688923287062955614813152E-10
16000000000000,2.3012274656896412448271427579236258783253443316532E-10
17000000000000,2.5794447024629863979347759843141758791218762883801E-10
18000000000000,2.8712789873883538282833218957242001936109014188911E-10
19000000000000,3.1763825198776022446035300177102268352922671577148E-10
20000000000000,3.4944112254876096947752188196707478010281480109910E-10
21000000000000,3.8250247494278842787958570505213537552215683185185E-10
22000000000000,4.1678864497280993295328909323991200089643075774380E-10
23000000000000,4.5226633900672486788817432811235841215373631988237E-10
24000000000000,4.8890263322661995410438562193756718831268114686123E-10
25000000000000,5.2666497284455017168953732718721051726650198493589E-10
26000000000000,5.6552117128503922210859955409557014330284569601752E-10
27000000000000,6.0543940933450140243149550607320384697539710113043E-10
28000000000000,6.4638823425779463553984675841467706820378922455223E-10
29000000000000,6.8833655888212218900063333413815074311946434715408E-10
30000000000000,7.3125366064850831345728734403900317424448026720649E-10
31000000000000,7.7510918063108063646975623312059173427181550567882E-10
32000000000000,8.1987312252439965677293023498320005358696547291930E-10
33000000000000,8.6551585159908309401450903487803805422260022981681E-10
34000000000000,9.1200809362598015733589403179040667928625767050423E-10
35000000000000,9.5932093376915799989164663619400172348042041348188E-10
36000000000000,1.0074258154479697228461866381354921253822581868497E-9
37000000000000,1.0562945391684802788870503544406312650626961787930E-9
38000000000000,1.1058992613245334992645312037140217437199218081493E-9
39000000000000,1.1562124929687502272876060971344256795353649312892E-9
40000000000000,1.2072070985537541826241128368127209831385563345829E-9
41000000000000,1.2588562946439287022875237985279914323085290956496E-9
42000000000000,1.3111336485980139035328249495966748747489688842277E-9
43000000000000,1.3640130772228600887916868166525453605316498067362E-9
44000000000000,1.4174688453986593610873782405068416417510034504575E-9
45000000000000,1.4714755646759834379921592839478131332548140553042E-9
46000000000000,1.5260081918449615411089523028174895031408672962319E-9
47000000000000,1.5810420274769379943359061658647270026265091733550E-9
48000000000000,1.6365527144389547859450731957903195593692119330823E-9
49000000000000,1.6925162363814098349906836450900443326985190844217E-9
50000000000000,1.7489089161992470500528536296400080271055978797597E-9
51000000000000,1.8057074144670394761926326729483862307586602855089E-9
52000000000000,1.8628887278483318926975207854655113117402610880845E-9
53000000000000,1.9204301874796141482667291650623667836025222356189E-9
54000000000000,1.9783094573293013003370917521083020752399975910548E-9
55000000000000,2.0365045325321012599794347161053456464697419972914E-9
56000000000000,2.0949937376991551319787097870875636966832561712668E-9
57000000000000,2.1537557252043397802084657417307955031244182113217E-9
58000000000000,2.2127694734471263401625012230484455167098085620692E-9
59000000000000,2.2720142850923924425372633615238888438058814992086E-9
60000000000000,2.3314697852875898031735029610287264011350200883911E-9
61000000000000,2.3911159198576725746530004014574769713114491794674E-9
62000000000000,2.4509329534781954426763070044328198215064797733267E-9
63000000000000,2.5109014678269938853731312002540775168991765527493E-9
64000000000000,2.5710023597148622953530801897983987822648581478837E-9
65000000000000,2.6312168391956487921077051657668266703561970578650E-9
66000000000000,2.6915264276561885259236096286456306946625590554809E-9
67000000000000,2.7519129558865000934405276855098924596725359569639E-9
68000000000000,2.8123585621306723491484960350318068412594012874878E-9
69000000000000,2.8728456901188714063058071184160029996634705364645E-9
70000000000000,2.9333570870808999748956800281717020675665230385857E-9
71000000000000,2.9938758017417433833253821330473993227875616890637E-9
72000000000000,3.0543851822995386746866727526886440458665501618282E-9
73000000000000,3.1148688743864050576990050668117695013368622621329E-9
74000000000000,3.1753108190125757271825934122648898723157081050704E-9
75000000000000,3.2356952504942726493697601115301931585992124946966E-9
76000000000000,3.2960066943657673339485049521625267844643360040952E-9
77000000000000,3.3562299652760718879057910462515511051943552187435E-9
78000000000000,3.4163501648707057665377369790623940159180284155580E-9
79000000000000,3.4763526796589846050312599075647437642852218881572E-9
80000000000000,3.5362231788672783304806498243794145116538247208652E-9
81000000000000,3.5959476122786864198383798332808376151494531920160E-9
82000000000000,3.6555122080595786849378000366571049619961223934196E-9
83000000000000,3.7149034705734503322610673041984319807409260481030E-9
84000000000000,3.7741081781825402635216428446882513649904006306589E-9
85000000000000,3.8331133810376616544167429468494399653825837406734E-9
86000000000000,3.8919063988566937741767198029764763864024836854981E-9
87000000000000,3.9504748186921837889553532689499453043845141346783E-9
88000000000000,4.0088064926885069288904456070937537009802615164446E-9
89000000000000,4.0668895358290328931027232942736585838808137255592E-9
90000000000000,4.1247123236737457203381023433436651406027770852242E-9
91000000000000,4.1822634900877635667981693067992270760682587882265E-9
92000000000000,4.2395319249612039084082253626906160985636603405287E-9
93000000000000,4.2965067719208386238596079358374984869099956605314E-9
94000000000000,4.3531774260339822188061696021647346203470805814358E-9
95000000000000,4.4095335315050551222199524674624987136938345568351E-9
96000000000000,4.4655649793652625247962035048567543847060009674707E-9
97000000000000,4.5212619051558276381711207139433029211272523345759E-9
98000000000000,4.5766146866052165343539748833713592498157328577798E-9
99000000000000,4.6316139413007898790025110009827511782139462120569E-9
100000000000000,4.6862505243553149018563301957255287065198245413125E-9
