Iteración,v,Función,Derivada,aproximacion
0,1,-7.00000000000000685921325051759991197884740957924862866801835200912875915853979460070249819048501520123610429393595305509822654125924442641070368603530979100215138224081380435942959391232674867309440661335868911284165492931552050451128165087371506660085929160450966800257305302667452061231406572744435231882294532783859059494360779740122774606971616229987029629005204132338380869981691123235015209366038585504127354287570119609525333441138571904668470860081977589983685571344039861789218099865183497936704975213388526461153478287777437341313090481004364164235679211825763115283720447166147921466735590101543514487862707260430649489791101610824897258768361780459434806810603301505321831499601357280479860907446720891061385351912871729522920901039981628564085248602255044277812787502499059677578462440005734110270601318754386108959164987213006430204065460518669259688087125412576954554600692018622852022874870477654625375948616145590818839669778668096540995428651149826924731208976414451858830385048532,110.0000000000001440434782608696452003622116773830703582257973010205276700735249058569791197283826010123658391977919988678206668011270388932200823102816916399397282362868595581540211030885211576492666906677020220607791219373739261006671730905191536591577055175070508197108742458937625359607771935084700727912750342634505705138029976512068164246381321372552393985143973260954130805891372562373837427971521819967713467543636358970448002173691504188549624289944301405314362228729760298746979318684145231430879515760507210755395350035082630426966783984236410794611233641183692273591446828482498231981277941084642786763570723128576937948650146292062215172918982061400849757015359135518784101119472104907654128077064497122200310314301906467323907351252878770458289646026092464626994075436720698398117476741193586420157984851141907152267434365690091564927074600254107856265498592931727525125198248332980789402349400113202850776625210167459482115372925709942035495053253838514182657330337219527203375036350953,1.063636363636363615389182622384198863702280958345228636779174200889822879615629304685842931638071205342323048965715533778655404441707711797523912643849064665929731233754106682115645334632255399691676903046216234371302864615013882335853249271494447663744260875826040084176464704638699685524726888770241204656103041658769281860299337306971136575000997693735224155064567945632923396369193552608014110590897579767326506411757366084215787777221043666438930556538683291783484936698577785762235627905645432064047463546159321590021460863530874438464719315995884312876252813985264814285484311450696899398213823495929213060171640406600012584242622425202991341071296917975875216244521687779108765058394894108252448041797372065078800643432817009798092255834980011915055147480707035889336956970018650808219665438263179148631912122502607376770677241355531533884275928301900397090233509997313283975546782526421353655042445647523568964699512660056847299698141209848285490175335062750777186007848419236946393593502530
1,1.063636363636363615389182622384198863702280958345228636779174200889822879615629304685842931638071205342323048965715533778655404441707711797523912643849064665929731233754106682115645334632255399691676903046216234371302864615013882335853249271494447663744260875826040084176464704638699685524726888770241204656103041658769281860299337306971136575000997693735224155064567945632923396369193552608014110590897579767326506411757366084215787777221043666438930556538683291783484936698577785762235627905645432064047463546159321590021460863530874438464719315995884312876252813985264814285484311450696899398213823495929213060171640406600012584242622425202991341071296917975875216244521687779108765058394894108252448041797372065078800643432817009798092255834980011915055147480707035889336956970018650808219665438263179148631912122502607376770677241355531533884275928301900397090233509997313283975546782526421353655042445647523568964699512660056847299698141209848285490175335062750777186007848419236946393593502530,-7.00000000000000729570863918690168684250776242517285362063141923487704120162724020506168548362442103122809379040600835322521884414529401513163513260473386469858645186026818782113786770633984436294034181154245085194424658077144078254048423366913763225303996987351452545194473440113013943233798514114974567691613694627257161373191816854325423397468057157035892409978205605088774072593704144800231069113323150841332204629603179955760784513089266664139680965862919267896909842025616389392714278402751223697333282165045330483845563083591241766190258151482948838726055277393912597436047554901791051506233461688954312881373588749585762634101509550779544539509161723778784217578423771168451555005294785393593258699424423665086273259217839831542602221686151764600665643298522001100548819949825982970139982564855956621006233350698874162768611329383401849586019975645539501915423291819909921491254688229787541391225490175718849054874399356926376608808117257690642282351102987563378852436818465301179441242539147,103.4188034188035648862715934437339970269574569903105974099190156839166851195315938592687130875297213155318915372653843469981345732334485660929944316191572248435286340124640073750731989944833208510984554591109626682485849578998417780502291949395381009882465685949558972356105300478134836974963604688934406941219421977846865047421380810012565551130949951419550383869969477653774393956669263519884355923050896980809993660029520618609184723841759568045513535952611476810330970163355966269061467443146620769936254668482320954510570093116126575774699466462713333478923147528233775051327409182801606577983266386571599318545305198257104549098099788141476080570055221658219690845309855978204118494779291997420132944182048097412259168406124832478197470040876700561763109632145793495238549815359343532469885787805344353168558184773645235096376389042707546931889727278005418736203632853533728235202650332723717953181100545014868647340142211792318200201451239693723047530305409940406478386937202449178164653150104,1.131322314049586730821444883147418443358140533026769709411235433658038389985183567138894549629737713381924070363240342513876439398430202467708270833343250667951745159855424223615332726396624755491734270333600861658748465695126889574502971337066902140247372375187987166563204599130135626028391996784740551454539210347531380136898955796059103295252466014450353614501581825573219765871572251261404768760051136658113206912607759559377873179423864690853108067498682094776549796403335254038369940580189660376514870238339459739303981835846387045094792372678718112044541916969534071047641309337925100222452838111312007234011490654071843995205062391930955527654880955912476667215877195874282181317124053785583358207165352208966538507734926117279855283199386607858846281154685018612652421366841728919413662319250210582336325836799051546808633684886734774786141277048281059514714084300086368619972400218843927945183622852915581684698097775864018960499422819703824836282579783864538102170701134497630254272370680
2,1.131322314049586730821444883147418443358140533026769709411235433658038389985183567138894549629737713381924070363240342513876439398430202467708270833343250667951745159855424223615332726396624755491734270333600861658748465695126889574502971337066902140247372375187987166563204599130135626028391996784740551454539210347531380136898955796059103295252466014450353614501581825573219765871572251261404768760051136658113206912607759559377873179423864690853108067498682094776549796403335254038369940580189660376514870238339459739303981835846387045094792372678718112044541916969534071047641309337925100222452838111312007234011490654071843995205062391930955527654880955912476667215877195874282181317124053785583358207165352208966538507734926117279855283199386607858846281154685018612652421366841728919413662319250210582336325836799051546808633684886734774786141277048281059514714084300086368619972400218843927945183622852915581684698097775864018960499422819703824836282579783864538102170701134497630254272370680,-7.00000000000000775998100713515902424443295766270597411223740176970152517255161799175838803124730533898902779171653284550668995293727024234229430316529227560826634717246299048469993633332640043541212027477232322162000505978409320038224153715003759212843764307825246916470443566690847221541051169261454056993743865649225609027323682552599568214073381181778408793354098464764393813530126766565191012769757709326962929566679922229523129103574875713242150601303318742633772992796044129293662252103112570165823894069711239202798882491786433552271708200907187544872872167098616931313481523054408674198097324222714106845985656340100743420612118115852901024907257046772875617298735761723683199071973287209136682253650348398681149397546662491693212455352913423021113463329866592882269498169059783273814759602531201019561905853950110742637955212604636819032291240129222036503602483989899093008098763352803191413559253449453616411221885884332238715731320944478467727837305029839787461397601471169119907425035757,97.23135364161019986667558133390361027439869637356466351590372095770690524001852131941077780953924432809897409969032256781903015913419805588955650291516138219431545077997516796320903716949087446617350784539987593196910633403064622316120845953096485018494168794506229635285517155171816951303827515116694882703223144308410463036443372501114818980495947588908780708221978520706623098700275664543611359138767992012391514030517764499160756287197480567744984602957849825001632687834939745780210857175745339119806987127552735892963791582317247363332252418190789583633125753172012664656220519388652114368590941306062818379325991173379135951648299329305767856611976489319613924679865181014868692333477376133708804099384929504699992549029391127678539838685542936879691153908221184306944828961006393153690213201205434767670137296450084584165623070118372469146909500672345912641930580670072702883129199153087219401703404393880550823291434020871027408217475215304501461325953201662664932653352390101910930296386551,1.203315552216378586846903128686497812044335533863174354873661448858028741876064455088369958788397325061840878126379527171718951216428362167655675237098834802391844430355726008829516184063886971712226714250947412401631580642492356784208693482293711235684939283722438658127513454274266637247665057270420876789363915286682907369202987036232854450656542218691895231929213059777559298962748746735867173893411255457781814953257996440077827708661269858764583220111890208065516232638011701569718527630644888767583070407172698383740327064637436254761025544305882785773845886156156914407690416138026393866555691763822681544006457310562286414788122080979989400351980253157655091312466131675945566386546466859081314954985990864085249928994286076494370714407888884671238649843936364891397901647607538317976603842470322615042057957082519729980056254497641322975090440385067173894871947829294555819353597011345619234726543301034090031600321254896936372609633378246978769167525873417163133252121003575801271415691813
3,1.203315552216378586846903128686497812044335533863174354873661448858028741876064455088369958788397325061840878126379527171718951216428362167655675237098834802391844430355726008829516184063886971712226714250947412401631580642492356784208693482293711235684939283722438658127513454274266637247665057270420876789363915286682907369202987036232854450656542218691895231929213059777559298962748746735867173893411255457781814953257996440077827708661269858764583220111890208065516232638011701569718527630644888767583070407172698383740327064637436254761025544305882785773845886156156914407690416138026393866555691763822681544006457310562286414788122080979989400351980253157655091312466131675945566386546466859081314954985990864085249928994286076494370714407888884671238649843936364891397901647607538317976603842470322615042057957082519729980056254497641322975090440385067173894871947829294555819353597011345619234726543301034090031600321254896936372609633378246978769167525873417163133252121003575801271415691813,-7.00000000000000825379798031648727751388358871595908067486404355908722792075175224862207031906265803241512791293054927504363874480920682352919308721386546085393744643390532673492513515416413055870066474449076212730020543628640937257451404795724191449664580802247621523509504141233522625792587621194908427091526889924691596498404515034088962615270097024879025312930173849537775332805302425839918555995624758957735011727017294662384953371715720751886953931487332403546374703060689285847126129879256774457801737702948707572621753076345022428942192093857790238794285981885490343553192203445642073525449277512807898104826433740176755196325067406010336280506124894270838900494953168429173693172882783125560933916859169074994748856159090720497526593007331126662675093720955190662779420188698602625793066408304924354637801729753410398534570609547961432577928464434315668064424838892604389321501907422652449092208376647598981841266091692622068155809812826597227087092067461531729725896845274651948805298708724,91.41409316732583959184172379474753746654974057786717003209167991298149223330603969264970204842355344510066118929087232374918350198034621202204880502092804198902722601104359080561005865218544108659654137107757736998295701870205495018823818011625909146935759915353718247317001948803894771831399240002195943562770331454587866714149723485480386061366007336701483472119685229102869110193520648959331538858701724074797080479212323663458853214376184131995599392487548916717160139342575473104392713816461576870782271147177718467531063619843181972143501679793254106692684915324129033141667436018616165783563116714012087919152260862409517982337102686070818975735566163643035651467759315880385335211780038534145520498559259831159518654567333097476145749979698365246120525601184838138181747867033322211498807850934570709571995979941710047996718465403945095941886816021165938055705234572446985145488009972929198004146214332044899784776387328588186819171093409840217647099508799453276004122963683311224096198721814,1.279890178266511739275907000596492389286672703198968232215811628084995786644918481721937922242384123400125547282526481763865531145968006863327593442789534756202180037078270518928174498650374444023527365820007459493448941356361519372222813360607050883807372743601861341137575328198294829720958664758795685743034451973899281899793498260795875533102467259151922799761817104485860343440763135656226929578812555412835942620017843057641556070903070038028094735698600316438284262347559134190709425482499030725386046606140489930817377035208683133114381937113058850090727245631318550094495159844494941168555884431083675124133183962939366654064758763288987077108196593448955127592256401697118096241622232659608946461356960147595252149639617988115485306338727728889174960014768567259535721482674175296376434799633220906564025045515490057822823748803339792089213585969637155397989052868959224238649680732831810870353606626741455911410407445847732643656388615560675187555544701146029907301035323942441257933734368
4,1.279890178266511739275907000596492389286672703198968232215811628084995786644918481721937922242384123400125547282526481763865531145968006863327593442789534756202180037078270518928174498650374444023527365820007459493448941356361519372222813360607050883807372743601861341137575328198294829720958664758795685743034451973899281899793498260795875533102467259151922799761817104485860343440763135656226929578812555412835942620017843057641556070903070038028094735698600316438284262347559134190709425482499030725386046606140489930817377035208683133114381937113058850090727245631318550094495159844494941168555884431083675124133183962939366654064758763288987077108196593448955127592256401697118096241622232659608946461356960147595252149639617988115485306338727728889174960014768567259535721482674175296376434799633220906564025045515490057822823748803339792089213585969637155397989052868959224238649680732831810870353606626741455911410407445847732643656388615560675187555544701146029907301035323942441257933734368,-7.00000000000000877903966997299095874292769570002779650892969003913886147982049682936954129408888804335933560794809263382538199122609069993342240824671869625153295133412302293617375685596404700493836946019009327501720034603798806312226765710117343711304441842309925162391928869502848801854922285453594920091662543737027631136712112268101413500468361347025061124017622322535298084998911635606903377679126488096575772795874513801414983447326805199969239269389280826314179658713012605839118064897995512161644084718573938535918063389228593499694692078008245125702673644791265349751320045250201326104333215972263715082469185248312137286472930369478694945876091403912504719368862335372212327951759036638251521253249098341910977729301120373959851121861458883616897372090823861581761254237444301220614516372375460316720004977232346289431884308618765800480671336432877529299495057694297078394499056672766655091717300446937354317422911119926736259943469927222083226543779308168413818116230339058268515168705700,85.94487391799866326507484918528530870693936980258118528251953325491407951878415274143411969279675026255965801660828951453733513122128656402755973136638577308543893605278533221746480037981223572532177715424509261529968402921967879263181456300031614284131502463150764332754520156102459017891785980313216487974711529805146205125247730529422302308614746189349784181178545559182914473527431569660645964139005910060455769240912957587537295510175330687579679620614406425485243796559364813776863146675112299180362380194982180172124461016398453788815396286901167285210816975099235913248679653855869277784516969697450046287138199570974986623360777997443632592494195976607862732073382913492946404894471653191715577815641059666860794766983353533894704774784004360583108922683618879443472863577143217752952604771828653131796155577119549863527221956401760283266778258905071685865523310055653811705367684981080126484659288229396471936940630964547439791185201820200295306316802316622789121803021533469812713236373795,1.361337735065289724689361744949421593604056586576045734723759015529584974163313349810859153992704992605534355015015354007826223145213266867818194925870893864934634490894236020599587042323944033681404661610644364098405188677150933488517006653331428799616545945712975083747706024261169122105885058320160649245240963164426120670443497156881634396486051631485780066202036868069958026826679245935995707952724153517382452409592104869430556509448678071059571701811307784594255360934277427873815794808487481517587205609049316323523899171363056781744951190661061172274003381707265364839154130802089556553277841325578099741523275857091360634854311500988591002322720978998515048255301082022596790879116612091887995404614198585332046779344806687140906482299748357836068731073981474362305518716193139740481745439324359306168269390682342846506502368023439244469858469509921061164557630048863398552000932614203836663337762338471738338116924367397778458485027908951351035293508550873426240636560831261308374160677759
5,1.361337735065289724689361744949421593604056586576045734723759015529584974163313349810859153992704992605534355015015354007826223145213266867818194925870893864934634490894236020599587042323944033681404661610644364098405188677150933488517006653331428799616545945712975083747706024261169122105885058320160649245240963164426120670443497156881634396486051631485780066202036868069958026826679245935995707952724153517382452409592104869430556509448678071059571701811307784594255360934277427873815794808487481517587205609049316323523899171363056781744951190661061172274003381707265364839154130802089556553277841325578099741523275857091360634854311500988591002322720978998515048255301082022596790879116612091887995404614198585332046779344806687140906482299748357836068731073981474362305518716193139740481745439324359306168269390682342846506502368023439244469858469509921061164557630048863398552000932614203836663337762338471738338116924367397778458485027908951351035293508550873426240636560831261308374160677759,-7.00000000000000933770583078945395796922028364878125274194944939978899564902440428614264336590565574164594991089783035903713366856753987807050577427347744198869969124789899287870357196840625741274725997867356038650154404095238167060468682948650994039252301947670411717880016573677355313855081928342897625521485008401655149840645309803796354136146996341441236436550138576064415759321095253649638394643515498114242796662799097562377712970236651413001714267162128123242147371975995281353313135147697976076151918616073594218617604444621899721091093227120197245236430018585165659650083120889706691621811884956319953258523570616957899948798059348368668244196027808085934727761876477350631016578225437524284691385215784511560174224260292775322848624357922537813845532424911439276400908208093138071118309207370268124618925328547509155609945684984186828206785168671454595667758898290163424982179460372241808763125218219192265480718249546248308269866175662122266287068365408784413941394596907694242322113080237,80.80287291435772825700342861228742522251234642779804731589981322045655134876462089411625287866273289272544115691371025516072312891321971836441195052199693823263880380079084291195732262197808162770544134319812079037303197781960006079543647773166348697169323049890837841163321382645163539395607063253827827775317099600266338746034498831882150090614964426975018344926686907115774929662979497342721839175686539621658994285569510802467162504566903059807762797736911401814358523403020421312190731600353312244064605955610926241439135394753101220928698673545200716489407620922924842437009825863040892991947106577208487024821995053074236215657715579468430964125159360586539393021634858713690344069624872697311187317613425938952953798088477093255809815438311061717462830178325148356043739956015774771982758310057839087511788161523637838922368637109604840381719269353521990755812658252278813435366641194788389425052856275449685889176215911743809527197879800236427312041291865960644885959695169212983646395627563,1.447968318205808122844342753798600619260536507694294544544386938181952323574281448315129984089373534898315163600239503486360969232669132009200979892663724518889940878504086602001433363609860554181072435613602349414818177608568699523110884650852195261739501746652961919847372629041609848400214098096115538789534911481684408646697707320356763230569106781243616066657717911826454580809821231450362247600849685585617822419761066015573827533220762134668663187388407806388418139985828532844558943900268454014042886289928690596562442829665742909564723739262695303730697989809833385675173312526538563374168157563644810629841625282658583931696828905889541748659522241778686206810628508639673229521405337255838163215187618531204737126095436391316185800918638275624842405039737884231162260973021398882482384770716218769833873350164235301974984221241401913216779925865756021263293662615591375604170210652294681388728796852110020550419640275967819668576652655852308143439557543619819095303520600592671330474151875
6,1.447968318205808122844342753798600619260536507694294544544386938181952323574281448315129984089373534898315163600239503486360969232669132009200979892663724518889940878504086602001433363609860554181072435613602349414818177608568699523110884650852195261739501746652961919847372629041609848400214098096115538789534911481684408646697707320356763230569106781243616066657717911826454580809821231450362247600849685585617822419761066015573827533220762134668663187388407806388418139985828532844558943900268454014042886289928690596562442829665742909564723739262695303730697989809833385675173312526538563374168157563644810629841625282658583931696828905889541748659522241778686206810628508639673229521405337255838163215187618531204737126095436391316185800918638275624842405039737884231162260973021398882482384770716218769833873350164235301974984221241401913216779925865756021263293662615591375604170210652294681388728796852110020550419640275967819668576652655852308143439557543619819095303520600592671330474151875,-7.00000000000000993192347456696459448712299848523943896502011666292601537150329129573416359946773559023233485681450531163353469983142467799519756237162862701896726164500933919569115153485239506287049067743248264802599799880081618689224608390878112950627279734843514627359156513367378947083270100303612207802405472798673345713353694637120879193979097281467348246343523796397960332681330312748003890487997039122790258327524315213530963828878447782352583247892728011400709634703661289850996969558891856257531533506894605260657824696075237178366999919585210984265567311831876684143058898666391785869361658505821373609137430192974831015001443509327150581837656619331513200480377745608862288632465223567472840753910383181778721710542183310465757607897214121227259852595773108529950180265219345329375534507157198627893297884206165542522839025417430825786481836834543999087165338908724100222803315710719098673501570723946425351640697154069582367672650307904706997365057818476907446995568319064402302908481299,75.96851299640471243744910157784581426340566158439337681843072351592393164669313306570638380238178659983329177803043208770694203941854311231095998202140161250875886150216957802059347288485017036750684940945319183100958722322978954404273053329253401481367983654655794870715132721674869962880451962189041684894305052963567115166300029174667845801086033849258281725255948628460823919335754615962041698975031924738651647780128150138333668389202583094713344642045449896567827149740690588898472209271780710996893548873754328644807889042105565919287182026581809834896225334054499349064980730758966417659738374190772603816067226714801858401734911295274747121403587604793245658736323700642585768798821696178430516197296879632182577467271877055128018552311274463695246773896447050716166945322480430154738252818608416170944945967743163280192778140625008485452383540528067437069397699564546892137076130472496415086473084057406270849824652331719530175616949495307380772131984513577578464433173758175265020429124271,1.540111756637086777595504267003304131765415038539662465092528898337718031413693600095648934016356819934786022199030821345170379791090501067718275515536189987924102924856497520379678395198730511383187070207258400740284219943358107972641830913053166076016518576204870007284573450212701362207337382150230496403127767586175280405710013326779134885103655629397129242325902528553352584535374138448206337241589469762894519870882639428587259400562077587054111565437323515829887743682037913465943517486257445368436388660946573567617221024578255630583832691052945269807066579014795505369816429065651857296954807237644436807530852794619905942933302770540111162795318960437730527912653816339130354313976785974721169797268441606099919794821101203323268431636952964591527469638458260236461110751549526793604232962752380906091825174943871183873016979429113203636636140692137457978864949899549765089482676107995703811942325449697745667645277703777729307066369696062761233167432616752180401238975919171992521774266983
7,1.540111756637086777595504267003304131765415038539662465092528898337718031413693600095648934016356819934786022199030821345170379791090501067718275515536189987924102924856497520379678395198730511383187070207258400740284219943358107972641830913053166076016518576204870007284573450212701362207337382150230496403127767586175280405710013326779134885103655629397129242325902528553352584535374138448206337241589469762894519870882639428587259400562077587054111565437323515829887743682037913465943517486257445368436388660946573567617221024578255630583832691052945269807066579014795505369816429065651857296954807237644436807530852794619905942933302770540111162795318960437730527912653816339130354313976785974721169797268441606099919794821101203323268431636952964591527469638458260236461110751549526793604232962752380906091825174943871183873016979429113203636636140692137457978864949899549765089482676107995703811942325449697745667645277703777729307066369696062761233167432616752180401238975919171992521774266983,-7.00000000000001056395496840304408051331943102107278189391800093346857425896934216065093600336215028755424189171005790300918190163479195801367159877770633509148376749701833985623340634876504781878249633493212228189729205915458101012883036997530536408667823096666316215171972203931642401800125888316175700956067793084791239711063831513844674107372922004471511484454292362740150892237714335118852922855081069362708514862597793268729626556320741240169081530208326641651874457029498433019073643790740501657286377601067675458661549684599645617284655554072822797329666966502648356740819201310366852599526558093346354032935888558928951737979642968534714972366587846075179817312055111654650616714180206257074539149898122553501215595903013330850191020183379643017657137371542038292958701900647816825729055783232894596935597592100430031590782680815616555333768844631888845403069955986745861824165583792381538940099769422371827161181230707359412700741871417499175244766701878598615991348428968904496256233976601,71.42338828721811636778264026341442773816661693844112875885188145803517015469954645182171900876915553092982918782238640229267056682747588598034201251224070077499622064852752661926559252804220845682266647320760468597537518925120040053336225444793913209359042016810176154886811694654501199121749696864912491974232830042474255129490796190282362722330423057489385115417459349419821870983917109651166717894643637617687288617598110563809241400392138808487151480824969077212438298042128245357673247881581824127590024384046143532775777426729344415577305648747794778882980134946090195024380509787445885775387440832966248110217551399863608397123080821790537115837684612596291035871503083656582671003746768188008616555138991047849925270298476027057979517452270031047544192352672988601768236491744692360687732098512793444346680785566942049497400533145500797371151547500848590381561156109434335110756478015397506874562564290028524258449633631090518193086450746447522402037727203097984574001222693833006428799529485,1.638118868423083159146801976008901061371349147782093308304145871343769256903127769708806809957735169631591168020248084962211997686898690321866732408248904826211286298584083834204151780320329447485597812012569016127251495433173753685681688965685682931395846082202065258338235793914146570198958746747156175821634673909586986156710610538227614870343457711544788725970145809537455557169619927614999950275704638023083955193038745792387605971213012441372792745983501352033252711264417553907774590496041711272474659995397248317470943842572585473695778213697763064434980258609412840023350626470037614379572649379376040082659209678433220175583603635620905712408039580171355203691661940718324098904052266994141398504284213218336591680511121843796295624656671003453132312956958908736666906477209202702573480644904625267040225383004670316289446384096850081518759550568214077158219785643649626605431826794035071432818728510146645987526104471313968592954778069343300508118450901709495095251754687795274378980142975
8,1.638118868423083159146801976008901061371349147782093308304145871343769256903127769708806809957735169631591168020248084962211997686898690321866732408248904826211286298584083834204151780320329447485597812012569016127251495433173753685681688965685682931395846082202065258338235793914146570198958746747156175821634673909586986156710610538227614870343457711544788725970145809537455557169619927614999950275704638023083955193038745792387605971213012441372792745983501352033252711264417553907774590496041711272474659995397248317470943842572585473695778213697763064434980258609412840023350626470037614379572649379376040082659209678433220175583603635620905712408039580171355203691661940718324098904052266994141398504284213218336591680511121843796295624656671003453132312956958908736666906477209202702573480644904625267040225383004670316289446384096850081518759550568214077158219785643649626605431826794035071432818728510146645987526104471313968592954778069343300508118450901709495095251754687795274378980142975,-7.00000000000001123620664821051043253835691777670285267290220298805950522516869605988959594364460490369656715319294165787461301373429588213740114459664414608787553393921019787322455717199807327895806645069076701219868398153931925728942305995784304408592612546299032467533661642084791449516674611463695073094714171158732223238860584761487312915331336361500569997258072723090224071003802164087617480882002396829368174284785334375663633236683036590527840568146943831350454245906919733258758715118750300270168207368363455254073797933380146793871572198963194497928530132281882487295810454215572768669732520638008637606151790947810609959552842072694150932646263999667162615183614643298487098280862174282855970817535672734639304125206819298117098853438604380861562426571967019285994822433742141826192469102528991045032380079347216473949257612794621287922741952279723399275330051349947453358071021828416216897036021521239511414335906288579424789327794961664570700653730936091806165836286466138234005743590018,67.15019411618798331083126637805254008815211123213301972222114269233923977428690657727278573498886929164034462637488279440999835125772287139047191007780222190417835681111877088089278072361447057489053348984877359352935895110511962238123775827764412134294320362765932815666618137686212111756270089513488414597252754660208510593076292493933358361771675756728169355727660911461667902739162381749088710207556734484420582365205892452016878318692992880927597642715775255920768434573827195436572665378547483445781196732143370537392329202934245772276705818060010924086689444168548731448115396501312775392805550629355364409146670166021613758717751991793236872176375773776098985014105346803096917234012638648385929702580762703024265746844582707666460951572278473133137685864010354178011892979177008599834425280424755291293222686097759486508754459084230569500224504201441702778726284810707559891559006600430203842446559023963928972015950960603637476345505676345230141785017778336007123748711756552982159459311527,1.742362796413642940263502726748523200311855136000109078855951876025078043028233546962008943250580237046651476573272840778708765752037368296120755419191576791085480521783335353786822484435225903410782728534577067461051255294951993490196454737132094341690721573815494755596444092020033086910015603599500505835759070559083075950640103532274946021821501067143405696822944319580058586578118749120750082285613506189432845400383250427861429969851410375662443009301751355890990720992844797527989782624842641734276583286141376431049972695558623467347367911377419288077527900530394781921541615352789288794074421213580719588971117709971367385420701310742729208536470742508879293426697322625138096492117857735024159979506276040299001666981764274759502206488552537185927124524296252467178204292799588891994293022220441528103623224996556608947462900950414854701731806154772223615924771637277526380058908367884071365220045049298148107931692130010715845451110125405027145386918786339047135683926334972940114579277074
9,1.742362796413642940263502726748523200311855136000109078855951876025078043028233546962008943250580237046651476573272840778708765752037368296120755419191576791085480521783335353786822484435225903410782728534577067461051255294951993490196454737132094341690721573815494755596444092020033086910015603599500505835759070559083075950640103532274946021821501067143405696822944319580058586578118749120750082285613506189432845400383250427861429969851410375662443009301751355890990720992844797527989782624842641734276583286141376431049972695558623467347367911377419288077527900530394781921541615352789288794074421213580719588971117709971367385420701310742729208536470742508879293426697322625138096492117857735024159979506276040299001666981764274759502206488552537185927124524296252467178204292799588891994293022220441528103623224996556608947462900950414854701731806154772223615924771637277526380058908367884071365220045049298148107931692130010715845451110125405027145386918786339047135683926334972940114579277074,-7.00000000000001195123798036936099521660802241884218126447406377060191884375900576838095328317721634020666017598058414087642073758058293193196701906852095017323747214224627736686782175810145179618830307481109645784980818080512439594408158984588506872027838408645411934921431986468015486519277355420652489151174245505659545186153679282982147673088552816247215781499552102409289280823028690887376903641020775327696173821928061478633662582772296723586056649872458132668665156254076614041996585520563691260138709933441692798242812102503852978714738503004019074407293357665221577201491157258915574453081000040391768381541566992532452936568775964366390754681104798816484134935036119503958764214324881224756568718664235057624269572766842559178714364706013139385945735821042121392921831250412524849905783623747922917293511102709816950944308688286428496065106866309951050720131376052791317707179293403382352922944172612804220382763047871883127677392136559416525184180937948440572730914316549305019576390608746,63.13266113487760180429578665677314801150894238466137148483126446031135851645628061821949655674638190096909723158666970886382358092458911512946395401994356704241895756235182656005948633854707213263562840051354283171281537312396629572504752101706044648929544794782373641282496026186504609703044206025470639104160814775355123157011115487588476200378140588122479463663630644341454017550495192837937664035183051320880253749316954386228195742514306944159506245008973051568060917297075516898600077160200347001650696786388531430880114168646545014848147521880632134085181848973530359460274285564616136674830855617990356085778633064051696805173997874106305047975054465170445912975249461021108117730361852892307854920447238790175939916551945104014184625046921852322652469062726319386699147120370863938332477791757645795575912306222220735736251500848104020172128145755272596266976840478472134672767433764598945088297284695167267421935771504836452344558840428088261056679695389485632052911613414245568395539221980,1.853240428912692881878162004483097331737983910455702250127844280375507751614215303217528103895589744393745836854924858907234830107517250171964010295410208141029752577914003001233719208031636125054059393783086678505271410347756895148904299122366903233854352392566377922887821612531521218447162874310780116585869331581995585678851449623831730114458395276571087862158611586006959212696310688622832076837307634972805288908002388782673270207027448573810110611237161240239135981330734560333856117791264704805438683046270687573398897990284733642155362744280923220724041843529141861153098790825251367343292818071733874586448943902400986828393179713596796113064494366332935697840403884112824146021905606379492371433183536179855512571134957035350044605239386546615586409219737408778262940289837939306286117982386308452394950167198505101521876098786388506893239059616149634021941320049508156335876271240175639502266532548292705032971890386746809876191833788409191377839437192578506112026276332820906572910001327
